Word           Frequency      Posting List   
araneda        1              [(1, 12496)]   

archaeolog     2              [(2, 18081), (2, 18333)]

archibald      1              [(1, 12518)]   

archimèd       1              [(2, 23679)]   

architectur    1              [(1, 11791)]   

archiv         23             [(1, 12836), (1, 13920), (1, 13982), (1, 14109), (1, 14145), (1, 14581), (1, 14736), (1, 15024), (1, 16930), (2, 15453), (2, 15535), (2, 15644), (2, 16448), (2, 18351), (2, 18630), (2, 18726), (2, 20682), (2, 22075), (2, 22328), (2, 22861), (2, 22957), (2, 23076), (2, 24508)]

are            86             [(1, 546), (1, 640), (1, 2587), (1, 3485), (1, 3565), (1, 3586), (1, 4146), (1, 4364), (1, 4412), (1, 4480), (1, 4549), (1, 4683), (1, 4815), (1, 4877), (1, 5222), (1, 5523), (1, 5948), (1, 5981), (1, 6159), (1, 6694), (1, 6733), (1, 7368), (1, 7788), (1, 7905), (1, 7968), (1, 8272), (1, 8605), (1, 8693), (1, 8744), (1, 8769), (1, 8882), (1, 8906), (1, 9312), (1, 9395), (1, 9896), (2, 489), (2, 800), (2, 886), (2, 1223), (2, 2648), (2, 3581), (2, 4754), (2, 4836), (2, 5245), (2, 5442), (2, 5617), (2, 5649), (2, 5679), (2, 5875), (2, 5946), (2, 6033), (2, 6052), (2, 6142), (2, 6286), (2, 6319), (2, 6425), (2, 6529), (2, 6571), (2, 7134), (2, 8160), (2, 8533), (2, 8867), (2, 8934), (2, 9341), (2, 9426), (2, 10465), (2, 11213), (2, 11276), (2, 11700), (2, 11762), (2, 11872), (2, 11978), (2, 12189), (2, 12485), (2, 12742), (2, 13052), (2, 13194), (2, 13233), (2, 13270), (2, 13434), (2, 13704), (2, 13762), (2, 13940), (2, 13961), (2, 14011), (2, 17060)]

area           3              [(1, 6595), (1, 9924), (2, 9283)]

aria           1              [(2, 19485)]   

aris           1              [(1, 5506)]    

arkansa        1              [(1, 4913)]    

armstrong      1              [(2, 15473)]   

aroma          1              [(2, 22023)]   

aromat         1              [(2, 7324)]    

arriv          1              [(2, 9387)]    

art            4              [(1, 926), (1, 3793), (2, 1725), (2, 14470)]

arthur         1              [(2, 18616)]   

artichok       1              [(2, 13137)]   

articl         14             [(1, 46), (1, 1457), (1, 2106), (1, 4133), (1, 7762), (1, 8060), (2, 48), (2, 7588), (2, 8112), (2, 8610), (2, 8975), (2, 10445), (2, 13214), (2, 14249)]

as             50             [(1, 2132), (1, 2153), (1, 2327), (1, 2806), (1, 2870), (1, 3895), (1, 5484), (1, 8812), (1, 8874), (1, 9027), (1, 9374), (1, 9934), (1, 10607), (1, 12026), (2, 993), (2, 1058), (2, 1150), (2, 2309), (2, 2317), (2, 2589), (2, 2970), (2, 3320), (2, 3351), (2, 3428), (2, 3509), (2, 3977), (2, 5002), (2, 5059), (2, 5141), (2, 5273), (2, 8574), (2, 8907), (2, 9091), (2, 10255), (2, 12044), (2, 12144), (2, 12723), (2, 12817), (2, 12825), (2, 13015), (2, 13060), (2, 13129), (2, 13284), (2, 13326), (2, 14716), (2, 15069), (2, 15105), (2, 15254), (2, 17101), (2, 19621)]

asesor         1              [(2, 19490)]   

asexu          1              [(1, 5112)]    

asia           4              [(2, 5468), (2, 6386), (2, 24407), (2, 24483)]

asian          3              [(1, 17570), (2, 8283), (2, 22317)]

